N,Release Date,Movie,Production Budget,Domestic Gross,Worldwide Gross
3675,10/25/1985,Krush Groove,3000000,11052713,11052713
3676,1/1/1960,Elmer Gantry,3000000,10400000,10400000
3677,5/8/2009,Next Day Air,3000000,10027047,10172519
3678,5/12/1999,Trippin',3000000,9017070,9017070
3679,1/1/1948,Red River,3000000,9012000,9012000
3680,8/8/2001,The Deep End,3000000,8823109,10091739
3681,5/24/2013,Before Midnight,3000000,8110621,20737030
3682,11/20/1987,Teen Wolf Too,3000000,7888000,7888000
3683,4/7/2006,Phat Girlz,3000000,7061128,7301080
3684,7/8/1988,Phantasm II,3000000,7000000,7000000
3685,10/18/2002,Real Women Have Curves,3000000,5853194,5853194
3686,8/28/1981,Gallipoli,3000000,5732587,5732587
3687,4/28/2006,Water,3000000,5529144,11322573
3688,4/14/2000,East is East,3000000,4170647,30438635
3689,9/1/2000,Whipped,3000000,4142507,4142507
3690,2/28/1997,Kama Sutra,3000000,4109095,4109095
3691,4/30/2010,Please Give,3000000,4033574,4570178
3692,6/30/1971,Willy Wonka & the Chocolate Factory,3000000,4000000,4000000
3693,9/24/1993,Warlock: The Armageddon,3000000,3902679,3902679
3694,4/18/1997,8 Heads in a Duffel Bag,3000000,3602884,4002884
3695,9/13/1978,Days of Heaven,3000000,3446749,3660880
3696,5/24/2002,Thirteen Conversations About One Thing,3000000,3287435,3705923
3697,2/19/1999,Jawbreaker,3000000,3076820,3076820
3698,8/9/1996,Basquiat,3000000,2962051,2962051
3699,2/24/2006,Tsotsi,3000000,2912606,11537539
3700,4/9/2010,Letters to God,3000000,2848587,2908902
3701,10/16/1998,Happiness,3000000,2746453,5746453
3702,4/4/2003,DysFunkTional Family,3000000,2255000,2255000
3703,4/6/2012,Damsels in Distress,3000000,1007535,1220699
3704,5/6/2011,Hobo with a Shotgun,3000000,703372,834953
3705,9/7/2012,Bachelorette,3000000,446770,12577401
3706,1/15/2010,Fish Tank,3000000,374675,5922292
3707,9/9/2011,Creature,3000000,331000,331000
3708,8/23/1996,Freeway,3000000,295493,295493
3709,10/6/2006,Love's Abiding Joy,3000000,252726,252726
3710,2/12/1993,Braindead,3000000,242623,242623
3711,10/1/2010,Chain Letter,3000000,205842,635842
3712,3/26/2010,The Eclipse,3000000,133411,133411
3713,3/21/2008,The Grand,3000000,115879,115879
3714,3/17/2006,Sommersturm,3000000,95204,95204
3715,8/15/2014,Fort McCoy,3000000,77465,77465
3716,8/4/1999,The Gambler,3000000,51773,101773
3717,10/13/2000,Just Looking,3000000,39852,39852
3718,1/13/2012,The Divide,3000000,18000,18000
3719,9/9/2011,Tanner Hall,3000000,5073,5073
3720,9/30/2005,My Big Fat Independent Movie,3000000,4655,4655
3721,1/15/2013,30 Nights Of Paranormal Activity With The Devil Inside The Girl With The Dragon Tattoo,3000000,0,0
3722,12/31/2013,Enter the Dangerous Mind,3000000,0,0
3723,4/15/2008,à L'Intérieur,3000000,0,0
3724,7/28/1951,Alice in Wonderland,3000000,0,0
3725,12/31/2013,Something Wicked,3000000,0,0
3726,12/31/2014,Demonic,3000000,0,0
3727,7/8/2014,Point Blank,3000000,0,0
3728,10/27/2014,Iguana,3000000,0,0
3729,2/15/1950,Cinderella,2900000,85000000,85000000
3730,11/20/1998,Central do Brasil,2900000,5969553,17006158
3731,1/1/1961,Pocketful of Miracles,2900000,5000000,5000000
3732,3/24/2006,Boynton Beach Club,2900000,3127472,3127472
3733,10/1/2010,Freakonomics,2900000,101270,117270
3734,3/29/1959,Some Like it Hot,2883848,25000000,25000000
3735,6/10/2005,High Tension,2850000,3681066,6435262
3736,12/15/1974,Young Frankenstein,2800000,86300000,86300000
3737,6/25/1976,The Omen,2800000,48570885,48570885
3738,7/22/2005,Hustle & Flow,2800000,22202809,23563727
